Alabama			: Montgomery<br>
Alaska			: Juneau<br>
Arizona			: Phoenix<br>
Arkansas			: Little Rock<br>
California		: Sacramento<br>
Colorado			: Denver<br>
Connecticut		: Hartford<br>
Delaware			: Dover<br>
Florida			: Tallahassee<br>
Georgia			: Atlanta<br>
Hawaii			: Honolulu<br>
Idaho			: Boise<br>
Illinois			: Springfield<br>
Indiana			: Indianapolis<br>
Iowa				: Des Moines<br>
Kansas			: Topeka<br>
Kentucky			: Frankfort<br>
Louisiana		: Baton Rouge<br>
Maine			: Augusta<br>
Maryland			: Annapolis<br>
Massachusetts		: Boston<br>
Michigan			: Lansing<br>
Minnesota		: St. Paul<br>
Mississippi		: Jackson<br>
Missouri			: Jefferson City<br>
Montana			: Helena<br>
Nebraska			: Lincoln<br>
Nevada			: Carson City<br>
New Hampshire		: Concord<br>
New Jersey		: Trenton<br>
New Mexico		: Santa Fe<br>
New York			: Albany<br>
North Carolina	: Raleigh<br>
North Dakota		: Bismarck<br>
Ohio				: Columbus<br>
Oklahoma			: Oklahoma City<br>
Oregon			: Salem<br>
Pennsylvania		: Harrisburg<br>
Rhode Island		: Providence<br>
South Carolina	: Columbia<br>
South Dakota		: Pierre<br>
Tennessee		: Nashville<br>
Texas			: Austin<br>
Utah				: Salt Lake City<br>
Vermont			: Montpelier<br>
Virginia			: Richmond<br>
Washington		: Olympia<br>
West Virginia		: Charleston<br>
Wisconsin		: Madison<br>
Wyoming			: Cheyenne<br><br>

